Suburb,2014,2015,2016,2017,2018
BYRON BAY,407.0,260.0,297.0,245.0,191.0
MANLY,388.0,298.0,369.0,302.0,250.0
COFFS HARBOUR,319.0,270.0,285.0,297.0,233.0
WOLLONGONG,309.0,257.0,280.0,281.0,239.0
PORT MACQUARIE,295.0,263.0,220.0,219.0,181.0
HAYMARKET,288.0,329.0,290.0,278.0,218.0
ORANGE,286.0,227.0,219.0,187.0,182.0
SURRY HILLS,274.0,218.0,253.0,179.0,211.0
DUBBO,254.0,224.0,224.0,188.0,217.0
PARRAMATTA,236.0,173.0,148.0,146.0,117.0
NEWTOWN,220.0,179.0,179.0,206.0,169.0
ARMIDALE,218.0,146.0,141.0,171.0,152.0
BROKEN HILL,218.0,157.0,139.0,170.0,156.0
NEWCASTLE,209.0,119.0,111.0,97.0,93.0
ALBURY,194.0,171.0,132.0,129.0,123.0
WAGGA WAGGA,191.0,205.0,151.0,121.0,161.0
